,compound,date,negative,neutral,positive,tn,tweet,user
0,0.0,Sun Mar 25 21:30:11 +0000 2018,0.0,1.0,0.0,0,A conservative media executive who is close with President Trump said the President told him Saturday he expects mo… https://t.co/syUiXUZP4i,@CNN
1,-0.0997,Sun Mar 25 21:15:04 +0000 2018,0.109,0.805,0.086,1,President Trump's attorney says husband-and-wife legal team Joseph diGenova and Victoria Toensing won't join legal… https://t.co/fTlnDqJ4Bf,@CNN
2,0.0,Sun Mar 25 21:03:28 +0000 2018,0.0,1.0,0.0,2,"Everything you need to know ahead of Stormy Daniels' ""60 Minutes"" interview https://t.co/9goGs0LO3J https://t.co/xJ0RDRT1GW",@CNN
3,0.4767,Sun Mar 25 20:45:06 +0000 2018,0.0,0.78,0.22,3,Monégasque racing driver Charles Leclerc impresses on debut in Australia https://t.co/lR1qvWSlYn https://t.co/KmYSAA2JVX,@CNN
4,-0.6124,Sun Mar 25 20:30:04 +0000 2018,0.294,0.706,0.0,4,Wisconsin students take gun reform fight to House Speaker Paul Ryan's hometown https://t.co/jpKPV0Lm5p https://t.co/wsP3WVHlcH,@CNN
5,0.1901,Sun Mar 25 20:15:19 +0000 2018,0.0,0.907,0.093,5,"Renaissance popes like Rodrigo Borgia made incredible cultural advancements, but at what cost? The price of progres… https://t.co/GnxJ683r5B",@CNN
6,-0.4404,Sun Mar 25 20:00:07 +0000 2018,0.244,0.756,0.0,6,The key players in the Stormy Daniels scandal https://t.co/4k8CTDlFVi https://t.co/gOFDXmglmx,@CNN
7,0.0,Sun Mar 25 19:45:03 +0000 2018,0.0,1.0,0.0,7,What happens when the world's two biggest economies turn on each other https://t.co/kGu99fYZvv https://t.co/JgzxQmVohv,@CNN
8,-0.4404,Sun Mar 25 19:30:07 +0000 2018,0.266,0.734,0.0,8,Cabinet wives swept up in secretaries' woes https://t.co/gRHqqfoIly https://t.co/zlGvUYxnQS,@CNN
9,0.5994,Sun Mar 25 19:15:05 +0000 2018,0.0,0.776,0.224,9,"Mark Warner, the top Democrat on the Senate Intelligence Committee, says Mark Zuckerberg needs to testify about Fac… https://t.co/QZBstaZDg1",@CNN
10,0.4404,Sun Mar 25 19:15:00 +0000 2018,0.0,0.884,0.116,10,"""I hope. ... they know that there is light at the end of the tunnel.""

CNN's Ed Lavandera followed a group of survi… https://t.co/OOo7eRjDKZ",@CNN
11,0.0,Sun Mar 25 19:01:24 +0000 2018,0.0,1.0,0.0,11,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box"" for their inaction… https://t.co/KHTlD7iUuh",@CNN
12,0.5106,Sun Mar 25 18:45:48 +0000 2018,0.0,0.845,0.155,12,"A driver's dramatic rescue from his SUV was caught on camera as floodwaters came rushing through Santa Clarita, Cal… https://t.co/vP9wOndR4x",@CNN
13,0.7469,Sun Mar 25 18:30:10 +0000 2018,0.0,0.586,0.414,13,The marching students wowed this security mom https://t.co/nRBizoN4s5 | via @CNNOpinion https://t.co/OVjQzh5nq9,@CNN
14,-0.4939,Sun Mar 25 18:15:53 +0000 2018,0.225,0.775,0.0,14,Why the Stormy Daniels interview should scare Republicans https://t.co/z6li30k8qv | via @CNNOpinion https://t.co/tIcn4gfX6Q,@CNN
15,0.0,Sun Mar 25 18:00:07 +0000 2018,0.0,1.0,0.0,15,"A day after March for Our Lives, the Pope urges youth to speak out https://t.co/MZxgyIY78e https://t.co/ntsRpwZN3L",@CNN
16,-0.5267,Sun Mar 25 17:46:03 +0000 2018,0.167,0.833,0.0,16,"""(President Trump) is either lying or he is completely delusional."" Democratic Sen. Tim Kaine says Trump's blaming… https://t.co/faQhA18ng9",@CNN
17,0.8402,Sun Mar 25 17:30:10 +0000 2018,0.0,0.63,0.37,17,"""If keeping our children's safe was truly Trump's 'top priority,' why did he play golf instead of attend the March… https://t.co/wt25Y1iJoZ",@CNN
18,-0.1027,Sun Mar 25 17:15:14 +0000 2018,0.08,0.92,0.0,18,"What we know about Emma Gonzalez, the fiercely outspoken teen who stunned America with her silence… https://t.co/KqUj4NlgjT",@CNN
19,0.0,Sun Mar 25 17:00:08 +0000 2018,0.0,1.0,0.0,19,"Ohio Gov. John Kasich says politicians ""should be held absolutely accountable at the ballot box""… https://t.co/543rARLzMr",@CNN
