compound_sent,date,news_outlet,tweet,seconds ago
0.0,Mon Mar 26 04:09:22 +0000 2018,@nytimes,"RT @nytimes: President Trump won't be hiring 2 lawyers he named just days ago in the Mueller inquiry, indicating new upheaval on his legal…",61212
0.6114,Mon Mar 26 04:09:21 +0000 2018,@CNN,"@EaglesNation023 @CNN To a future officer ftom a ex officer,most of these young cops are trigger happy !Look at the… https://t.co/azbvvvjgAW",61213
0.0,Mon Mar 26 04:09:21 +0000 2018,@CNN,RT @CNN: Officers muted body cameras in Stephon Clark shooting. Why? https://t.co/jK8eQpI6T9 https://t.co/e3oQDq4IWr,61213
-0.54,Mon Mar 26 04:09:20 +0000 2018,@nytimes,@nytimes @IvankaTrump Your dad is a fucking embarrassment. He got s thing for u too!,61214
-0.5574,Mon Mar 26 04:09:20 +0000 2018,@CNN,@CNN They need to be fired immediately.,61214
-0.873,Mon Mar 26 04:09:19 +0000 2018,@FoxNews,@FoxNews @KyleKashuv I think the government entities that FAILED to protect these kids are guilty of murder and sho… https://t.co/n3yCxOz3my,61215
0.0,Mon Mar 26 04:09:19 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61215
0.0,Mon Mar 26 04:09:18 +0000 2018,@FoxNews,@FoxNews Bankruptcy does not mean out of business.,61216
-0.8388,Mon Mar 26 04:09:18 +0000 2018,@CNN,@EaglesNation023 @CNN 20 times though!!!!!!!  Foh hell no!,61216
0.0,Mon Mar 26 04:09:18 +0000 2018,@BBCWorld,RT @BBCWorld: Liberia - the country where citizenship depends on your skin colour https://t.co/J00QpfZ8lV,61216
0.3612,Mon Mar 26 04:09:17 +0000 2018,@CBSNews,@Chris24405745 @CBSNews Lmao you're a trump supporter my bad ✌🏾✌🏾✌🏾✌🏾 enough said,61217
0.0258,Mon Mar 26 04:09:17 +0000 2018,@CNN,"RT @CNN: At the March for Our Lives rally in Washington, Florida school survivor Emma Gonzalez weeps quietly for the majority of her speech…",61217
0.4588,Mon Mar 26 04:09:17 +0000 2018,@FoxNews,"RT @OHenryHernandez: @FoxNews @DevinNunes https://t.co/HrTyFojNvF

[[[ Fox News‘ Favorite Trump lapdog, Comrade Devin Nunes, gets hit with…",61217
0.0,Mon Mar 26 04:09:16 +0000 2018,@FoxNews,@abenn343 @FoxNews Hey bra look at the media think this is own by Rupert Murdoch...same dude that owns Fox (Fake) N… https://t.co/FSie1ooxFe,61218
-0.3412,Mon Mar 26 04:09:15 +0000 2018,@CNN,"RT @Ohio_Buckeye_US: @MrEdTrain @andersoncooper @60Minutes @CBSNews @CNN #StormyDaniels, said in @60Minutes ""not looking 4 fame or money"",…",61219
-0.3412,Mon Mar 26 04:09:15 +0000 2018,@CBSNews,"RT @Ohio_Buckeye_US: @MrEdTrain @andersoncooper @60Minutes @CBSNews @CNN #StormyDaniels, said in @60Minutes ""not looking 4 fame or money"",…",61219
-0.1531,Mon Mar 26 04:09:15 +0000 2018,@FoxNews,"RT @FoxNews: .@DevinNunes: ""We also found no collusion between the Trump campaign but we did find links between the Clinton [campaign] and…",61219
0.296,Mon Mar 26 04:09:14 +0000 2018,@nytimes,"RT @MattsOurSemite: The Overton Window on race realism is moving fast. In the last 48 hours:

1. @nytimes admits that races have measurable…",61220
0.0,Mon Mar 26 04:09:13 +0000 2018,@FoxNews,@robo26hobo @PotempaKelly @Barbara78576237 @FoxNews @cameron_kasky Anything?  That's the kind of thinking that lead… https://t.co/kNmZnpza64,61221
-0.5106,Mon Mar 26 04:09:13 +0000 2018,@FoxNews,@Jaynewalkup1 @FoxNews @FoxNewsSunday @newtgingrich It'd sure as hell be more realistic,61221
0.0,Mon Mar 26 04:09:13 +0000 2018,@BBCWorld,@qamarhasan50 @BBCWorld Sometimes we need military Dictatorship .when you have islamist as the other option,61221
-0.5118,Mon Mar 26 04:09:13 +0000 2018,@FoxNews,@FoxNews @DevinNunes 😂😂😂 Can we throw this little shit in jail already?,61221
0.0,Mon Mar 26 04:09:11 +0000 2018,@CNN,@Jdub13406206 @buddy_faro @CNN Elaborate then,61223
-0.4767,Mon Mar 26 04:09:09 +0000 2018,@CNN,"@ColleenCashill @CNN @CNNOpinion ""You dotarders should be ashamed you voted for the porn-star screwer-in-chief, fak… https://t.co/3TyROvpC9z",61225
-0.6486,Mon Mar 26 04:09:09 +0000 2018,@FoxNews,RT @FoxNews: Bodies of Iowa family found dead in Mexico to return to US this week https://t.co/TjC29v5yJr,61225
-0.1531,Mon Mar 26 04:09:08 +0000 2018,@FoxNews,"RT @FoxNews: .@DevinNunes: ""We also found no collusion between the Trump campaign but we did find links between the Clinton [campaign] and…",61226
-0.4019,Mon Mar 26 04:09:07 +0000 2018,@CNN,@CNN How long before someone on the fringe right blames Mexican immigrant?,61227
0.6249,Mon Mar 26 04:09:07 +0000 2018,@FoxNews,@BoriquaW @Blinke11 @JmyersMwoF @FoxNewsSunday @FoxNews @cameron_kasky That's great we SHOULD invest in mental heal… https://t.co/1XQvyquSHk,61227
0.3182,Mon Mar 26 04:09:07 +0000 2018,@CBSNews,@ofccadjust @TheBrodyFile @CBSNews @realDonaldTrump It's just curious to me. I'm trying to comprehend how others th… https://t.co/CsqhupwJgX,61227
-0.4019,Mon Mar 26 04:09:06 +0000 2018,@nytimes,@radiccent @nytimes Im a guy...dumbass....look...you go keep your firearms. If you lose more citizens to random sho… https://t.co/JlcziED9Dv,61228
-0.0258,Mon Mar 26 04:09:06 +0000 2018,@nytimes,@nytimes Well tell India and China to stop littering.,61228
0.8402,Mon Mar 26 04:09:05 +0000 2018,@CNN,"RT @CNN: ""If keeping our children's safe was truly Trump's 'top priority,' why did he play golf instead of attend the March for Our Lives?""…",61229
0.0,Mon Mar 26 04:09:05 +0000 2018,@FoxNews,@RikiTikiTorrre @duke_heston @realDonaldTrump @FoxNews Not so! Trump wanted 25 billion for Wall after stating it wo… https://t.co/qUDEbmOFCF,61229
-0.34,Mon Mar 26 04:09:04 +0000 2018,@CNN,"RT @CNN: Remington, the venerable gun maker, has filed for bankruptcy https://t.co/IMYTJCN7Lj https://t.co/lPb4pDFRAP",61230
-0.2023,Mon Mar 26 04:09:04 +0000 2018,@FoxNews,RT @FoxNews: Congress passes tax cuts and some gun safety measures; enough for 2018 voters? https://t.co/vOpBULJDLG,61230
0.0,Mon Mar 26 04:09:04 +0000 2018,@CNN,"RT @CNN: Skiers and snowboarders were met with orange-tinted snow in Sochi, Russia, this weekend. https://t.co/ElBoFzVt4A https://t.co/MPmp…",61230
-0.34,Mon Mar 26 04:09:04 +0000 2018,@CNN,"RT @CNN: Remington, the venerable gun maker, has filed for bankruptcy https://t.co/IMYTJCN7Lj https://t.co/lPb4pDFRAP",61230
0.0,Mon Mar 26 04:09:04 +0000 2018,@CNN,@trac123 @CNN She's an American. She has as much a right to be here and to be heard as you or anyone else does.,61230
0.6249,Mon Mar 26 04:09:04 +0000 2018,@nytimes,"RT @nytimes: Floating between California and Hawaii, the ""Great Pacific Garbage Patch"" is up to 16 times bigger than previously thought and…",61230
0.3036,Mon Mar 26 04:09:03 +0000 2018,@CBSNews,"RT @CBSNews: In his Palm Sunday address, Pope Francis encourages youth to ""shout"" and not allow older generations to silence them after stu…",61231
0.0,Mon Mar 26 04:09:03 +0000 2018,@nytimes,RT @JamesOKeefeIII: Mashup of @Project_Veritas doorstopping @nytimes and Channel 4 doorstopping @CamAnalytica. https://t.co/TOzURDW7Az,61231
0.0,Mon Mar 26 04:09:02 +0000 2018,@FoxNews,@FoxNews  https://t.co/3whse47OXi,61232
0.0,Mon Mar 26 04:09:01 +0000 2018,@CNN,RT @RealCandaceO: Anderson Cooper really spent 60 minutes with a porn star discussing whether or not she had consensual sex 15 years ago an…,61233
